file,name,aliases,title
man/030-measurement-intelligence-utils.Rd,eye_plot_spec,eye_plot_spec|print.eye_plot_spec|print.eye_mi_result|plot_diagnostics|plot_diagnostics.default|plot_diagnostics.eye_mi_result|plot_evidence|plot_evidence.default|plot_evidence.eye_mi_result|plot_sensitivity|plot_sensitivity.default|plot_sensitivity.eye_mi_result|autoplot_eyeprocess,Measurement-intelligence plotting and result infrastructure
man/031-probabilistic-aoi.Rd,assign_aois_probabilistic,assign_aois_probabilistic|audit_aoi_separation|summarise_aoi_membership|propagate_aoi_uncertainty|plot.eye_probabilistic_aoi|plot.eye_aoi_separation_audit|plot.eye_aoi_uncertainty|plot_aoi_probability_map|plot_aoi_boundary_risk|plot_probabilistic_scanpath|plot_fuzzy_transition_matrix|plot_aoi_metric_uncertainty,Probabilistic AOI assignment and uncertainty propagation
man/032-compositional-aoi.Rd,derive_aoi_composition,derive_aoi_composition|transform_aoi_composition|fit_aoi_compositional_model|compare_aoi_compositions|aoi_balance_coordinates|plot.eye_aoi_composition|plot.eye_aoi_composition_comparison|plot.eye_aoi_composition_model|plot_aoi_ternary|plot_aoi_balance_biplot|plot_aoi_variation_matrix|plot_compositional_group_difference|plot_aoi_composition_trajectory,Compositional analysis of AOI attention
man/033-process-uncertainty.Rd,process_uncertainty_spec,process_uncertainty_spec|print.eye_process_uncertainty_spec|estimate_process_uncertainty|propagate_process_uncertainty|uncertainty_budget|compare_uncertainty_budgets|plot.eye_process_uncertainty|plot.eye_process_uncertainty_propagation|plot.eye_uncertainty_budget_comparison|plot_uncertainty_waterfall|plot_uncertainty_tornado|plot_uncertainty_by_item|plot_uncertainty_by_stage,Process measurement-uncertainty budgets
man/034-calibration-recalibration.Rd,detect_calibration_drift,detect_calibration_drift|fit_offline_recalibration|apply_offline_recalibration|audit_recalibration|plot.eye_calibration_drift|plot.eye_recalibration_audit|plot_calibration_vector_field|plot_calibration_error_ellipses|plot_drift_over_time|plot_recalibration_before_after|plot_screen_coverage,Calibration drift and offline recalibration
man/035-process-reliability.Rd,fit_process_gstudy,fit_process_gstudy|process_variance_components|design_process_dstudy|audit_process_reliability|plot.eye_process_gstudy|plot.eye_process_dstudy|plot.eye_process_reliability_audit|plot_variance_components|plot_dependability_surface|plot_reliability_by_metric|plot_session_stability|plot_item_sampling_reliability,Process reliability and Generalizability Theory
man/036-device-linking.Rd,fit_device_linking,fit_device_linking|apply_device_linking|audit_device_equivalence|estimate_device_specific_error|plot.eye_device_linking|plot.eye_device_equivalence|plot_device_agreement|plot_device_bias_by_magnitude|plot_device_transfer_curve|plot_device_equivalence_intervals|plot_cross_vendor_metric_matrix,Cross-device and cross-vendor metric linking
man/037-pupil-registration.Rd,register_pupil_curves,register_pupil_curves|decompose_pupil_phase_amplitude|fit_phase_amplitude_irt|audit_pupil_registration|plot.eye_pupil_registration|plot.eye_pupil_phase_amplitude|plot.eye_phase_amplitude_irt|plot_pupil_registration|plot_warping_functions|plot_phase_amplitude_scores|plot_item_phase_delay|plot_registered_pupil_effects,Pupil phase-amplitude registration
man/038-informative-missingness.Rd,fit_process_observation_model,fit_process_observation_model|fit_joint_signal_missingness|process_pattern_mixture|sensitivity_mnar_process|plot.eye_process_observation_model|plot.eye_mnar_sensitivity|plot.eye_mnar_tipping_point|plot_observation_probability|plot_missingness_by_time|plot_missingness_by_aoi|plot_mnar_tipping_point|plot_complete_case_sensitivity,Informative missingness and MNAR sensitivity
man/039-recurrence-analysis.Rd,gaze_recurrence,gaze_recurrence|cross_recurrence|windowed_recurrence|recurrence_features|plot.eye_recurrence|plot.eye_cross_recurrence|plot.eye_windowed_recurrence|plot_recurrence_matrix|plot_windowed_recurrence|plot_diagonal_recurrence_profile|plot_crossmodal_recurrence|plot_recurrence_network,Recurrence and cross-recurrence analysis
man/040-fixation-point-process.Rd,fit_fixation_point_process,fit_fixation_point_process|fit_marked_gaze_process|predict_fixation_intensity|diagnose_gaze_point_process|plot.eye_fixation_point_process|plot.eye_gaze_point_process_diagnostics|plot_fixation_intensity|plot_spatial_residuals|plot_temporal_excitation_kernel|plot_covariate_effect_surface|plot_observed_expected_fixations,Spatio-temporal fixation point-process models
man/041-representative-scanpaths.Rd,representative_scanpath,representative_scanpath|scanpath_dispersion|compare_scanpath_distributions|bootstrap_representative_scanpath|plot.eye_scanpath_representative|plot.eye_scanpath_comparison|plot.eye_scanpath_bootstrap|plot_scanpath_atlas|plot_representative_scanpath|plot_scanpath_dispersion|plot_group_scanpath_transport|plot_scanpath_similarity_matrix,Representative scanpaths and scanpath distributions
man/042-process-episodes.Rd,detect_process_changepoints,detect_process_changepoints|segment_process_episodes|label_process_episodes|compare_episode_structure|plot.eye_process_changepoints|plot.eye_process_episodes|plot.eye_episode_comparison|plot_process_episodes|plot_changepoint_ribbons|plot_episode_waterfall|plot_episode_transition_graph|plot_episode_duration_distribution,Cognitive-episode change-point detection
